barcode,foodcode,usdadescmain,hei_score
036632027559,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.08
041497036790,75330110.0,"Vegetable combination (including carrots, broccoli, and/or dark-green leafy), cooked, no sauce, fat not added in cooking",0.13
072945690127,51320010.0,"Roll, wheat or cracked wheat",0.15
044500976519,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.1
041497184880,75205023.0,"Beans, string, green, cooked, from canned, fat not added in cooking",0.11
041497327966,74602030.0,"Tomato soup, canned, undiluted",0.07
011225415852,75216113.0,"Corn, yellow, cooked, from canned, fat not added in cooking",0.1
011225415845,75216153.0,"Corn, yellow, from canned, cream style",0.1
041497251421,64104010.0,Apple juice,0.02
011225024689,57241000.0,Honey Nut Cheerios,0.08
030000311844,53541000.0,Quaker Chewy Granola Bar,0.31
041497529834,57000100.0,"Oat cereal, NFS",0.12
070474000905,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
011225047718,54328200.0,"Cracker, sandwich-type, cheese-filled",0.09
070474005764,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
011225030444,74402150.0,"Salsa, red, commercially-prepared",0.1
011225026485,91611000.0,Ice pop,0.02
607880702026,61210250.0,"Orange juice, with calcium added, canned, bottled or in a carton",0.03
078742374192,81101000.0,"Butter, stick, salted",0.08
742365264252,11112110.0,"Milk, cow's, fluid, 2% fat",0.02
021130494019,74402150.0,"Salsa, red, commercially-prepared",0.06
011166015128,57602100.0,"Oats, raw",0.09
079548489127,31101010.0,"Egg, whole, raw",0.07
032251123993,91101010.0,"Sugar, white, granulated or lump",0.01
071000000529,11111000.0,"Milk, cow's, fluid, whole",0.01
016000302808,18097.0,"Cake, chocolate, dry mix, pudding-type",0.06
018000001880,52101020.0,"Biscuit dough, raw",0.05
011161462101,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
012000002304,92410310.0,"Soft drink, cola-type",0.01
078000082463,92410360.0,"Soft drink, pepper-type",0.01
020000105468,75216113.0,"Corn, yellow, cooked, from canned, fat not added in cooking",0.14
021000612239,14301010.0,"Cheese, cream",0.17
011161156185,18079.0,"Bread crumbs, dry, grated, plain",0.06
024000162865,75205023.0,"Beans, string, green, cooked, from canned, fat not added in cooking",0.11
011161466970,14107010.0,"Cheese, Mozzarella, NFS",0.17
021000023738,14410200.0,"Cheese, processed, American or Cheddar type",0.11
050400023291,51101000.0,"Bread, white",0.06
074323090901,51101000.0,"Bread, white",0.05
011161152200,91101010.0,"Sugar, white, granulated or lump",0.01
013800232601,58130011.0,Lasagna with meat,0.02
021000026326,83107000.0,"Mayonnaise, regular",0.06
070810000231,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
037600070607,27311410.0,"Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy",0.15
037600495479,27345020.0,"Chicken or turkey, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)",0.12
016000275348,57305100.0,Lucky Charms,0.13
038000318368,57349000.0,"Frosted Flakes, Kellogg's",0.05
013300547014,18022.0,"Bread, cornbread, dry mix, enriched (includes corn muffin mix)",0.09
043695075205,58126130.0,"Turnover, meat- and cheese-filled, no gravy",0.02
013800552433,28153010.0,"Shrimp and clams in tomato-based sauce, with noodles (frozen meal)",0.06
013800110176,28143200.0,"Chicken in soy-based sauce, rice and vegetables (frozen meal)",0.05
049000014631,92410310.0,"Soft drink, cola-type",0.0
049000014655,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.0
045000003019,53108200.0,"Snack cake, chocolate, with icing or filling",0.05
021131504687,28143080.0,Chicken with noodles and cheese sauce (diet frozen meal),0.11
M-4039,63143010.0,"Plum, raw",0.14
021131508128,28143080.0,Chicken with noodles and cheese sauce (diet frozen meal),0.11
M-4384,61119010.0,"Orange, raw",0.03
020601700024,31101010.0,"Egg, whole, raw",0.06
048500301227,61201220.0,"Grapefruit juice, canned, bottled or in a carton",0.03
020601278066,14109010.0,"Cheese, Swiss",0.21
070560903165,75120000.0,"Peas, green, raw",0.16
070560830201,75102000.0,"Beans, lima, raw",0.15
070560976220,75311012.0,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, from frozen, fat not added in cooking",0.13
039272000623,24207000.0,"Turkey, ground",0.08
035826074393,21602100.0,Beef jerky,0.15
027000441107,74406010.0,Barbecue sauce,0.06
072799008987,91745040.0,Butterscotch hard candy,0.07
080660956756,93102000.0,"Beer, lite",0.01
070847000051,92650200.0,Monster Energy Drink,0.01
725439925273,51153000.0,"Roll, white, hard",0.08
072250017398,51301010.0,"Bread, wheat or cracked wheat",0.07
038900004071,63141170.0,"Pineapple, cooked or canned, juice pack",0.13
