barcode,foodcode,usdadescmain,hei_score
017696402155,58104835.0,Taquito or flauta with chicken and cheese,0.02
702218347310,74402150.0,"Salsa, red, commercially-prepared",0.1
077900503115,27560650.0,Sausage on biscuit,0.02
078742078106,24198740.0,Chicken nuggets,0.04
078742077055,13110110.0,"Ice cream, regular, chocolate",0.03
024300043017,53233050.0,"Cookie, oatmeal sandwich, with creme filling",0.04
071567956581,91745010.0,Gumdrops,0.08
047677474208,13120100.0,"Ice cream bar or stick, chocolate covered",0.46
047677474192,13120110.0,"Ice cream bar or stick, chocolate or caramel covered, with nuts",0.38
044700064375,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.05
078742100159,14410200.0,"Cheese, processed, American or Cheddar type",0.08
037600138789,27111410.0,Chili con carne with beans,0.05
078742371542,2047.0,"Salt, table",0.07
078742015071,75503010.0,"Cucumber pickles, dill",0.13
052100017440,2034.0,"Spices, poultry seasoning",1.08
017082897817,21602100.0,Beef jerky,0.24
028400028165,54401210.0,"Salty snacks, corn based puffs and twists, cheese puffs and twists, lowfat",0.36
639194059084,64104010.0,Apple juice,0.02
049022569355,51160110.0,"Roll, sweet, cinnamon bun, frosted",0.13
049022409392,94100100.0,"Water, bottled, unsweetened",0.01
074312443152,95230000.0,"Protein powder, whey based, NFS",0.05
014800000399,64104010.0,Apple juice,0.01
042400180982,57305600.0,Malt-O-Meal Marshmallow Mateys,0.08
070470005706,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.08
036632036421,11553000.0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products",0.09
075476111000,91501010.0,Gelatin dessert,0.02
077567085160,91611000.0,Ice pop,0.03
014100081272,54304000.0,"Cracker, cheese",0.54
078742062747,51301010.0,"Bread, wheat or cracked wheat",0.07
024300835919,53209000.0,"Cookie, chocolate, chocolate sandwich or chocolate-coated or striped",0.3
072300000905,11111000.0,"Milk, cow's, fluid, whole",0.1
012000002731,92511010.0,Fruit flavored drink (formerly lemonade),0.03
024682313340,13110100.0,"Ice cream, regular, flavors other than chocolate",0.33
034000005215,91706000.0,"Coconut candy, chocolate covered",0.25
645230011183,10123.0,"Pork, cured, bacon, unprepared",0.15
083120103691,93401020.0,"Wine, table, white",0.01
070491225015,92510610.0,Fruit juice drink,0.03
034000000470,91304020.0,"Topping, chocolate, thick, fudge type",0.02
036200014011,74404010.0,"Spaghetti sauce, meatless",0.02
070310000137,93102000.0,"Beer, lite",0.0
042187203249,11111000.0,"Milk, cow's, fluid, whole",0.01
042187240008,91611000.0,Ice pop,0.02
041900028121,11511400.0,"Milk, chocolate, lowfat milk-based",0.01
036800299351,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.1
021739723022,71603010.0,"Potato salad, made with mayonnaise",0.12
041581001130,51111010.0,"Bread, cheese",0.1
036800923140,75219013.0,"Mushrooms, cooked, from canned, fat not added in cooking",0.12
041290011413,51101000.0,"Bread, white",0.04
011225095511,83107000.0,"Mayonnaise, regular",0.06
078700446008,51150000.0,"Roll, white, soft",0.05
030354706389,25221410.0,"Pork sausage, fresh, bulk, patty or link, cooked",0.04
041290443054,92302000.0,"Tea, leaf, unsweetened",0.15
041290530808,20120.0,"Spaghetti, dry, enriched",0.19
051500241356,42202000.0,Peanut butter,0.09
051500040003,91406000.0,"Jams, preserves, marmalades, dietetic, all flavors, sweetened with artificial sweetener",0.16
041290204877,75219013.0,"Mushrooms, cooked, from canned, fat not added in cooking",0.19
041290356095,91402000.0,"Jam, preserves, all flavors",0.08
041290011512,51601020.0,"Bread, multigrain",0.14
045388100461,75103000.0,"Cabbage, green, raw",0.1
045388100249,75103000.0,"Cabbage, green, raw",0.1
041290053321,57602100.0,"Oats, raw",0.22
041290372989,75503040.0,"Cucumber pickles, sweet",0.05
073651214287,75510020.0,"Olives, black",0.25
041290207649,74204013.0,"Tomatoes, from canned, stewed",0.11
021300149091,63311170.0,"Fruit cocktail, cooked or canned, juice pack",0.14
074683004457,83300900.0,"Salad dressing, fat free, NFS",0.14
041290750534,75102000.0,"Beans, lima, raw",0.12
041290753351,75127750.0,"Snowpeas (pea pod), raw",0.12
041290755119,75311012.0,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, from frozen, fat not added in cooking",0.1
028500116168,63101110.0,"Applesauce, stewed apples, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.09
041290752255,72128212.0,"Turnip greens, cooked, from frozen, fat not added in cooking",0.1
041290752354,72128412.0,"Turnip greens with roots, cooked, from frozen, fat not added in cooking",0.1
020000273334,72201100.0,"Broccoli, raw",0.14
041290110147,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
041290776299,12220270.0,"Whipped topping, nondairy, frozen, fat free",0.11
013130006118,8104.0,"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry",0.1
072342115247,27120030.0,Ham or pork with barbecue sauce (mixture),0.03
041290206857,12140100.0,"Cream, whipped, pressurized container",0.13
034500195003,81101010.0,"Butter, whipped, tub, salted",0.16
034700510026,75102000.0,"Beans, lima, raw",0.15
030100700128,53239000.0,"Cookie, shortbread",0.07
043000038475,13230110.0,"Pudding, ready-to-eat, flavors other than chocolate",0.13
011141102713,92191100.0,"Coffee, dry instant powder, regular",0.12
071072013014,32011.0,"Yellow rice with seasoning, dry packet mix, unprepared",0.2
039156002750,18376.0,"Bread crumbs, dry, grated, seasoned",0.09
041415007253,11210050.0,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",0.13
041415207639,61210220.0,"Orange juice, canned, bottled or in a carton",0.01
041271026085,12210210.0,"Cream substitute, flavored, liquid",0.07
073890006025,10123.0,"Pork, cured, bacon, unprepared",0.08
041271004670,12210210.0,"Cream substitute, flavored, liquid",0.07
064144030644,81103090.0,"Margarine-like spread, liquid, salted",0.3
021000646180,83106000.0,"Italian dressing, made with vinegar and oil",0.03
018000003181,52101020.0,"Biscuit dough, raw",0.04
071921000066,58106250.0,"Pizza, extra cheese, thin crust",0.05
071921001292,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.05
071202171102,63223600.0,"Strawberries, frozen, NS as to added sweetener",0.11
030034000516,31101010.0,"Egg, whole, raw",0.08
030000169766,54318500.0,"Rice cake, cracker-type",0.62
030034030117,26319130.0,"Shrimp, steamed or boiled",0.08
759283000756,57227000.0,"Granola, NFS",0.18
033400070113,900020107.0,"Macaroni, dry, whole wheat",0.31
020000125664,75403022.0,"Beans, string, green, cooked, from frozen, with mushroom sauce",0.18
020000174785,75109600.0,"Corn, raw",0.21
030034050818,74402150.0,"Salsa, red, commercially-prepared",0.1
030034100308,21500100.0,"Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)",0.04
070459005499,51121010.0,"Bread, garlic",0.09
038000466205,53540700.0,Kellogg's Special K bar,0.21
072368510347,20120.0,"Spaghetti, dry, enriched",0.08
072368510569,20099.0,"Macaroni, dry, enriched",0.08
073570130095,12350000.0,"Dip, sour cream base",0.06
064144321605,75506010.0,Mustard,0.11
038000321207,53530000.0,Breakfast tart,0.04
071202171430,63223600.0,"Strawberries, frozen, NS as to added sweetener",0.02
013120013232,11382.0,"Potatoes, mashed, dehydrated, granules with milk, dry form",0.09
046675013044,11445000.0,"Yogurt, fruit and nuts, lowfat milk",0.12
043000041918,92900200.0,"Fruit-flavored beverage, dry concentrate, low calorie, not reconstituted",0.93
052000132502,92900300.0,"Fruit-flavored thirst quencher beverage, dry concentrate, not reconstituted",1.18
030034071431,14201500.0,"Cheese, Ricotta",0.06
028400083089,54402200.0,"Salty snack mixture, mostly corn or cornmeal based, with pretzels, without nuts",0.1
041900069216,11511000.0,"Milk, chocolate, NFS",0.01
025000058240,92511010.0,Fruit flavored drink (formerly lemonade),0.0
036800040045,20099.0,"Macaroni, dry, enriched",0.08
077817107000,54408010.0,"Pretzels, hard",0.1
075450097016,11112210.0,"Milk, cow's, fluid, 1% fat",0.01
075450018141,74402150.0,"Salsa, red, commercially-prepared",0.1
031000180485,27242400.0,"Chicken or turkey and noodles, tomato-based sauce (mixture)",0.17
031000180218,58130011.0,Lasagna with meat,0.16
031000180461,58145130.0,Macaroni or noodles with cheese and beef,0.17
031000119553,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.2
031000004002,28113140.0,"Beef with spaetzle or rice, vegetable (frozen meal)",0.15
025000025440,61210720.0,"Orange juice, frozen, not reconstituted",0.13
021000001903,14104200.0,"Cheese, Colby",0.19
088365060044,11111000.0,"Milk, cow's, fluid, whole",0.02
070038368151,91402000.0,"Jam, preserves, all flavors",0.08
070038331650,75503010.0,"Cucumber pickles, dill",0.04
036200004807,74404010.0,"Spaghetti sauce, meatless",0.04
070038609094,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.11
070830001928,71201015.0,"White potato chips, regular cut",0.19
070038302759,20099.0,"Macaroni, dry, enriched",0.08
026800007926,20099.0,"Macaroni, dry, enriched",0.17
077661000120,83101000.0,Blue or roquefort cheese dressing,0.12
070038593997,14107010.0,"Cheese, Mozzarella, NFS",0.04
071195045190,14201010.0,"Cheese, cottage, creamed, large or small curd",0.06
071195006160,11111000.0,"Milk, cow's, fluid, whole",0.01
024600042123,2047.0,"Salt, table",0.02
045000003002,53108200.0,"Snack cake, chocolate, with icing or filling",0.08
072799008611,91745040.0,Butterscotch hard candy,0.1
028400078917,54401210.0,"Salty snacks, corn based puffs and twists, cheese puffs and twists, lowfat",0.58
022000105035,91802000.0,"Chewing gum, sugarless",0.44
041800000081,91402000.0,"Jam, preserves, all flavors",0.05
041335000549,83112500.0,Creamy dressing,0.08
075457326003,11115300.0,"Buttermilk, fluid, whole",0.04
047500481014,51101000.0,"Bread, white",0.02
041735270368,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.08
717544500773,14107010.0,"Cheese, Mozzarella, NFS",0.08
072945601659,51150000.0,"Roll, white, soft",0.02
073130001322,51201010.0,"Bread, whole wheat, 100%",0.18
070662030424,6583.0,"Soup, ramen noodle, any flavor, dry",0.23
727452002702,11820.0,"Peppers, hot chili, red, canned, excluding seeds, solids and liquids",0.22
047325023178,20099.0,"Macaroni, dry, enriched",0.08
717544124085,75109600.0,"Corn, raw",0.13
053000006145,14410200.0,"Cheese, processed, American or Cheddar type",0.11
041757054458,14420160.0,"Cheese spread, Swiss cheese base",0.08
022000103116,91802000.0,"Chewing gum, sugarless",0.12
050000009480,12210400.0,"Cream substitute, powdered",0.02
020000417455,75216113.0,"Corn, yellow, cooked, from canned, fat not added in cooking",0.01
074847377236,58131510.0,"Ravioli, cheese-filled, no sauce",0.02
033383068442,63101000.0,"Apple, raw",0.04
041498125097,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.23
041498177898,11460170.0,"Yogurt, frozen, flavors other than chocolate, lowfat milk",0.23
041498134914,57304100.0,Life (plain and cinnamon),0.2
033383087610,63101000.0,"Apple, raw",0.04
041498133030,12210200.0,"Cream substitute, liquid",0.04
024100191819,54304000.0,"Cracker, cheese",0.08
015000048334,54350010.0,"Gerber Finger Foods, Puffs, baby food",0.7
015000007850,67203700.0,"Apple-prune juice, baby food",0.1
038900030605,63311110.0,"Fruit cocktail, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener",0.1
041565000173,74402150.0,"Salsa, red, commercially-prepared",0.1
018627531777,53540800.0,Kashi GOLEAN Chewy Bars,0.22
016000413115,22998.0,"Rice and vermicelli mix, chicken flavor, unprepared",0.13
041000142147,22998.0,"Rice and vermicelli mix, chicken flavor, unprepared",0.15
044000030308,54338000.0,"Crackers, wheat",0.19
044000048693,53220000.0,"Cookie, fruit-filled bar",0.11
052000121254,92560100.0,Gatorade Thirst Quencher sports drink,0.01
052000129342,92560100.0,Gatorade Thirst Quencher sports drink,0.01
046100037812,54328200.0,"Cracker, sandwich-type, cheese-filled",0.22
044000014865,54102010.0,"Crackers, graham",0.17
028400022156,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.14
072945762893,51303010.0,"Muffin, English, wheat or cracked wheat",0.14
M-4675,75127750.0,"Snowpeas (pea pod), raw",0.38
045000000148,53108200.0,"Snack cake, chocolate, with icing or filling",0.22
076183323649,92510610.0,Fruit juice drink,0.03
041548026855,13110110.0,"Ice cream, regular, chocolate",0.04
071166081820,53510000.0,"Danish pastry, plain or spice",0.06
072180632456,58106260.0,"Pizza, extra cheese, thick crust",0.12
035826041807,54403000.0,"Popcorn, popped in oil, unbuttered",0.26
018000005017,52101020.0,"Biscuit dough, raw",0.04
064144048816,58132313.0,"Pasta with tomato sauce and meat or meatballs, canned",0.06
025000054389,61213800.0,"Fruit juice blend, including citrus, 100% juice",0.03
024000508830,63135140.0,"Peach, cooked or canned, in light or medium syrup",0.1
876941002546,26315180.0,"Oysters, canned",0.18
011110002105,51101000.0,"Bread, white",0.02
078800113961,11511400.0,"Milk, chocolate, lowfat milk-based",0.07
075900005219,71301020.0,"White potato, cooked, with cheese",0.07
077083404254,27246500.0,Meat loaf made with chicken or turkey,0.12
073030980017,26139180.0,"Sardines, canned in oil",0.46
015788272303,58110170.0,"Egg roll, with chicken or turkey",0.03
038000300103,53530000.0,Breakfast tart,0.05
015000073190,76407010.0,"Mixed vegetables, garden vegetables, baby food, strained",0.27
015000073510,67105030.0,"Bananas, baby food, strained",0.24
015000073633,67105030.0,"Bananas, baby food, strained",0.24
011150062343,75503040.0,"Cucumber pickles, sweet",0.05
041755007081,64100110.0,"Fruit juice blend, 100% juice",0.02
794522916009,92302300.0,"Tea, leaf, presweetened with low calorie sweetener",0.02
794522909001,92302300.0,"Tea, leaf, presweetened with low calorie sweetener",0.04
041483021984,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.01
011150506571,11423000.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",0.03
070470425160,11432500.0,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener",0.11
070470433585,11422100.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",0.28
070470006680,11427000.0,"Yogurt, chocolate, nonfat milk",0.1
070470420240,11433500.0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener",0.17
070470004396,11422000.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk",0.04
041600010587,26100210.0,"Fish stick, patty, or fillet, NS as to type, cooked, NS as to cooking method",0.11
806648102195,93401010.0,"Wine, table, red",0.05
072220005226,51186010.0,"Muffin, English",0.05
077567121301,91611000.0,Ice pop,0.02
070474100926,11113000.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",0.05
688267033612,31101010.0,"Egg, whole, raw",0.06
036632002600,11424000.0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener",0.05
039400016359,41201020.0,"Baked beans, vegetarian",0.04
041736001602,82104000.0,Olive oil,0.06
802763028808,62122100.0,"Prune, dried, uncooked",0.1
043000969809,91501010.0,Gelatin dessert,0.04
014100074441,53239000.0,"Cookie, shortbread",0.08
070074407111,41440010.0,Ensure liquid nutrition,0.02
020000101651,75224023.0,"Peas, green, cooked, from canned, fat not added in cooking",0.1
688267037610,91745010.0,Gumdrops,0.07
697301100272,50010000.0,"Flour, white",0.18
085239141243,14420200.0,"Cheese spread, cream cheese, regular",0.15
085239031049,51180010.0,Bagel,0.04
012000810145,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.01
038000528880,57344000.0,Special K,0.04
018627394259,53540800.0,Kashi GOLEAN Chewy Bars,0.22
018627620013,53233010.0,"Cookie, oatmeal, with raisins",0.15
085239991008,91304020.0,"Topping, chocolate, thick, fudge type",0.05
085239201046,91708030.0,Fruit leather and fruit snacks candy,0.22
644209424054,91305010.0,"Icing, chocolate",6.52
644209424115,91305020.0,"Icing, white",10.58
012000061462,92301080.0,"Tea, NS as to type, presweetened with low calorie sweetener",0.08
078000013054,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.01
085239036150,58106255.0,"Pizza, extra cheese, regular crust",0.04
085239036167,58106505.0,"Pizza with meat, prepared from frozen, thick crust",0.04
071430009567,72116000.0,"Endive, chicory, escarole, or romaine lettuce, raw",0.2
015800030539,91108010.0,"Sugar substitute, herbal extract sweetener, liquid",0.11
072329000016,64401000.0,Vinegar,0.28
070670004615,91401000.0,"Jelly, all flavors",0.09
080062007216,52215200.0,"Tortilla, flour (wheat)",0.06
024000335139,91303000.0,Molasses,0.06
021130047611,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.17
079893111506,51601020.0,"Bread, multigrain",0.12
075278150016,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.09
036800104433,71401020.0,"White potato, french fries, from frozen, oven baked",0.05
755440000096,71505000.0,"White potato, puffs",0.05
036800775145,74201003.0,"Tomatoes, cooked, from canned, NS as to method",0.11
036800814981,74403110.0,Tomato paste,0.3
031903010889,31101010.0,"Egg, whole, raw",0.07
031903002440,94100100.0,"Water, bottled, unsweetened",0.01
028400009058,54401050.0,"Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",0.32
028400029551,54401050.0,"Salty snacks, corn or cornmeal base, corn puffs and twists; corn-cheese puffs and twists",0.36
050500675567,25221410.0,"Pork sausage, fresh, bulk, patty or link, cooked",0.14
018341751055,93401020.0,"Wine, table, white",0.05
031259009223,93401010.0,"Wine, table, red",0.05
739510001138,94210300.0,SoBe Lifewater,0.04
717544204725,11112210.0,"Milk, cow's, fluid, 1% fat",0.01
011225051494,54338000.0,"Crackers, wheat",0.19
040822011747,41205070.0,Hummus,0.18
077975086964,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.14
028400034708,54402600.0,"Salty snacks, multigrain, whole grain, chips (made with whole corn, whole wheat, rice flour, and whole oat flour)",0.36
087356510124,93401020.0,"Wine, table, white",0.05
739510001060,94210300.0,SoBe Lifewater,0.04
010300838210,42111200.0,"Peanuts, dry roasted, salted",0.11
075278149010,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.1
075278149003,25230900.0,"Turkey or chicken breast, prepackaged or deli, luncheon meat",0.09
070470434858,11432000.0,"Yogurt, fruit variety, lowfat milk",0.06
097421030037,53544450.0,PowerBar (fortified high energy bar),0.68
074345123724,53720700.0,Tiger's Milk bar,0.95
021000619849,14410380.0,"Cheese, processed cream cheese product, nonfat or fat free",0.17
036632026354,11432000.0,"Yogurt, fruit variety, lowfat milk",0.09
717544111337,52101020.0,"Biscuit dough, raw",0.04
071990000486,93102000.0,"Beer, lite",0.01
021242600032,93101000.0,Beer,0.02
098487204875,51159000.0,"Roll, sour dough",0.05
884912116505,57106050.0,Banana Nut Crunch Cereal (Post),0.08
071300050026,20099.0,"Macaroni, dry, enriched",0.11
071300050057,20099.0,"Macaroni, dry, enriched",0.09
071300050040,20099.0,"Macaroni, dry, enriched",0.11
033776100353,42202000.0,Peanut butter,0.05
074908360269,74404010.0,"Spaghetti sauce, meatless",0.02
078742228976,92410520.0,"Soft drink, fruit-flavored, sugar free, caffeine free",0.02
086600707778,9027550720.0,BUMBLE BEE TN KT SALAD MAYONNAISE (3.5oz) (99gm) kit,0.42
070560929110,75102750.0,"Brussels sprouts, raw",0.13
070905565218,13130330.0,"Light ice cream, no sugar added, flavors other than chocolate",0.06
070640053032,13110100.0,"Ice cream, regular, flavors other than chocolate",0.01
078742430157,92410310.0,"Soft drink, cola-type",0.0
071462000358,12120100.0,"Cream, half and half",0.05
041129010242,20099.0,"Macaroni, dry, enriched",0.08
041129010150,20099.0,"Macaroni, dry, enriched",0.08
041129015148,20099.0,"Macaroni, dry, enriched",0.11
082000001034,93505000.0,Vodka,0.02
074680002128,64401000.0,Vinegar,0.01
036800188648,57151000.0,Crispy Rice,0.02
036800188525,50030000.0,"Biscuit mix, dry",0.01
071100200058,75608300.0,"Onion soup, dry mix, not reconstituted",0.38
041483000996,11115300.0,"Buttermilk, fluid, whole",0.04
075925300016,14107010.0,"Cheese, Mozzarella, NFS",0.04
044700006412,25210210.0,"Frankfurter or hot dog, beef",0.06
011150514767,14301010.0,"Cheese, cream",0.17
070157882774,14104400.0,"Cheese, Feta",0.23
070300001021,12310100.0,Sour cream,0.08
017000016863,25240000.0,"Meat spread or potted meat, NFS",0.25
011150037341,75219013.0,"Mushrooms, cooked, from canned, fat not added in cooking",0.12
011150982245,82104000.0,Olive oil,0.09
011150088176,41420450.0,Worcestershire sauce,0.03
013000008020,74406100.0,"Steak sauce, tomato-base",0.07
046000860114,74402250.0,"Enchilada sauce, red",0.15
011150059282,75503010.0,"Cucumber pickles, dill",0.04
034300000026,75230010.0,"Sauerkraut, cooked, fat not added in cooking",0.11
011150046442,83107000.0,"Mayonnaise, regular",0.06
884912002181,57237100.0,Honey Bunches of Oats Honey Roasted Cereal,0.1
041483038470,12350000.0,"Dip, sour cream base",0.11
011150511308,11511400.0,"Milk, chocolate, lowfat milk-based",0.01
041380087052,74401010.0,Tomato catsup,0.04
041380113133,27150350.0,Sardines with tomato-based sauce (mixture),0.38
043000017296,92900200.0,"Fruit-flavored beverage, dry concentrate, low calorie, not reconstituted",0.93
011110608109,31101010.0,"Egg, whole, raw",0.08
011110034939,51150000.0,"Roll, white, soft",0.05
080736100182,42401010.0,"Coconut milk (liquid expressed from grated coconut meat, water added)",0.09
074326000334,41420010.0,Soybean curd,0.12
079519111026,75502520.0,"Cabbage, Kimchi (Kim Chee) style",0.12
041260898105,11112110.0,"Milk, cow's, fluid, 2% fat",0.02
681131715362,58106700.0,"Pizza with meat and vegetables, prepared from frozen, thin crust",0.02
011110890504,52101020.0,"Biscuit dough, raw",0.03
078742013299,74402150.0,"Salsa, red, commercially-prepared",0.06
045000115019,51186010.0,"Muffin, English",0.05
045000125223,51201010.0,"Bread, whole wheat, 100%",0.11
074570034000,13110100.0,"Ice cream, regular, flavors other than chocolate",0.12
011110587336,14010100.0,"Cheese, Cheddar or American type, NS as to natural or processed",0.08
051000121141,28340110.0,"Chicken or turkey broth, bouillon, or consomme",0.04
041800400508,92510610.0,Fruit juice drink,0.01
041800328000,92510610.0,Fruit juice drink,0.01
025000054662,92511010.0,Fruit flavored drink (formerly lemonade),0.01
044000015732,54338000.0,"Crackers, wheat",0.21
011110006813,92410210.0,"Carbonated water, unsweetened",0.0
093966000283,12130100.0,"Cream, heavy, fluid",0.08
835715001086,14107010.0,"Cheese, Mozzarella, NFS",0.17
895203001158,75113080.0,"Lettuce, arugula, raw",0.41
762111653512,91301100.0,Sugar (white) and water syrup,0.02
762111888945,92191100.0,"Coffee, dry instant powder, regular",0.08
073171006232,91745010.0,Gumdrops,0.05
073171006218,91745010.0,Gumdrops,0.05
021000638550,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
073570700014,14410200.0,"Cheese, processed, American or Cheddar type",0.11
042187020105,81101000.0,"Butter, stick, salted",0.08
042187303772,75503020.0,"Cucumber pickles, relish",0.13
042187406749,74403110.0,Tomato paste,0.3
041129010020,20120.0,"Spaghetti, dry, enriched",0.08
041000022692,32002.0,"Rice and vermicelli mix, rice pilaf flavor, unprepared",0.18
604485003053,2026.0,"Spices, onion powder",0.24
.,13864.0,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.03
044400156004,26100230.0,"Fish stick, patty, or fillet, NS as to type, breaded or battered, baked",0.11
070360002006,11111000.0,"Milk, cow's, fluid, whole",0.01
049022568068,92510610.0,Fruit juice drink,0.01
077387114781,58106500.0,"Pizza with meat, prepared from frozen, thin crust",0.07
078742431048,63200200.0,"Berries, frozen, NFS",0.13
078742228815,61210720.0,"Orange juice, frozen, not reconstituted",0.13
803810230267,11830400.0,"Milk beverage, powder, dry mix, not reconstituted, flavors other than chocolate",0.76
078742144177,11433000.0,"Yogurt, fruit variety, nonfat milk",0.06
079581995203,92511010.0,Fruit flavored drink (formerly lemonade),0.03
079581995258,92511010.0,Fruit flavored drink (formerly lemonade),0.03
079581995234,92511010.0,Fruit flavored drink (formerly lemonade),0.03
078742095233,42501000.0,Nut mixture with dried fruit and seeds,0.08
898999040004,42404010.0,"Coconut water, canned or bottled",0.06
041548750927,63420110.0,"Fruit juice bar, frozen, flavor other than orange",0.1
898999030005,42404010.0,"Coconut water, canned or bottled",0.06
021140341594,14107010.0,"Cheese, Mozzarella, NFS",0.17
034500151849,81103080.0,"Margarine-like spread, tub, salted",0.1
021000026951,83204050.0,"Mayonnaise-type salad dressing, light",0.08
766895960002,93101000.0,Beer,0.02
083820181142,93101000.0,Beer,0.02
028400025904,71201015.0,"White potato chips, regular cut",0.65
071024403115,91101010.0,"Sugar, white, granulated or lump",0.0
072410630405,92410410.0,Cream soda,0.0
089819542406,93401020.0,"Wine, table, white",0.19
093966513004,11111000.0,"Milk, cow's, fluid, whole",0.02
041286114487,11111000.0,"Milk, cow's, fluid, whole",0.01
022000014115,91750000.0,Taffy,0.44
036632027757,11430000.0,"Yogurt, fruit variety, NS as to type  of milk",0.26
041800365005,92510610.0,Fruit juice drink,0.01
075450097368,14201010.0,"Cheese, cottage, creamed, large or small curd",0.06
075450102475,91611000.0,Ice pop,0.02
071105000011,54301000.0,"Cracker, snack",0.28
041415002371,28345140.0,"Chicken or turkey soup, cream of, canned, undiluted",0.11
041415001374,75607030.0,"Mushroom soup, canned, undiluted",0.11
041415006034,18402.0,"Pie crust, standard-type, prepared from recipe, unbaked",0.09
041415009592,81101000.0,"Butter, stick, salted",0.08
810757010166,53242000.0,"Cookie, sugar wafer",0.34
028749131946,23612.0,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",0.02
021000611461,14410200.0,"Cheese, processed, American or Cheddar type",0.08
016000409941,18144.0,"Cake, yellow, dry mix, regular, enriched",0.02
644209405008,91305020.0,"Icing, white",0.07
023000439274,71201015.0,"White potato chips, regular cut",0.19
023000381207,71201020.0,"White potato chips, ruffled, rippled, or crinkle cut",0.19
041789004117,6583.0,"Soup, ramen noodle, any flavor, dry",0.22
054100977359,74406010.0,Barbecue sauce,0.02
049200056004,91102010.0,"Sugar, brown",0.05
036514134054,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
071319001545,51301010.0,"Bread, wheat or cracked wheat",0.07
034700093208,73407000.0,"Sweet potato, canned, NS as to syrup",0.03
041501010587,9258101710.0,ORTEGA WHOLE GRAN & WHL WHT TACO KIT (15.9oz) (448.38 gm),0.08
041800237005,64116020.0,Grape juice,0.01
014113911863,42114130.0,Pistachio nuts,0.05
043119003968,12130100.0,"Cream, heavy, fluid",0.04
040822012126,41205070.0,Hummus,0.07
041800201358,92511010.0,Fruit flavored drink (formerly lemonade),0.01
074699030082,53202000.0,"Cookie, almond",0.11
046100007501,54328200.0,"Cracker, sandwich-type, cheese-filled",0.26
090478415024,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
090478415017,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
027255204137,54403110.0,"Popcorn, sugar syrup or caramel-coated",0.24
090478331201,92410510.0,"Soft drink, fruit-flavored, caffeine free",0.04
017082000446,21602100.0,Beef jerky,0.07
031000196882,28101000.0,"Frozen dinner, NFS",0.17
688267006791,75330110.0,"Vegetable combination (including carrots, broccoli, and/or dark-green leafy), cooked, no sauce, fat not added in cooking",0.13
688267006784,72201100.0,"Broccoli, raw",0.11
688267009358,75311012.0,"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, from frozen, fat not added in cooking",0.1
688267009594,75109600.0,"Corn, raw",0.12
020735093924,92301060.0,"Tea, NS as to type, presweetened with sugar",0.05
020735092545,92301060.0,"Tea, NS as to type, presweetened with sugar",0.05
